time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
0.06,-0.003096838113751323,0.0034611849285480557,0.0,5.9792185949368175,1.0435835393302204,0.0,-0.18383126709662645,0.03390983698656068,-0.5714774529374994,-6.049899774747032,2.44268649751551,0.0,4.174419871582366,423.11772236449366,672.3318874694626,67.84233350086481,-6.002624498712908
0.06,-0.0030153772630615297,0.003395471485846216,0.0,6.015734964027079,1.0162494764737335,0.0,-0.17916863932668287,0.029264961750672364,-0.5718666459188626,-6.068156352560672,2.4097137719040553,0.0,4.133695238454411,420.2347902682525,673.3368499761301,67.7037066916296,-6.002572231535392
0.06,-0.0029198298477326676,0.003293122832092492,0.0,6.076258917243315,0.9833600239672542,0.0,-0.1736882254307116,0.022288744701530944,-0.5714762487045953,-6.098293984111958,2.3694464443634002,0.0,3.88251197969734,416.6857514344643,675.0126985061308,67.67348884783995,-6.002501863250723
0.06,-0.002835510734137436,0.0031540405770690916,0.0,6.163617851900835,0.9528359334423211,0.0,-0.16884556057446326,0.013276552116434331,-0.5694492652050116,-6.141530356096267,2.3314684376702615,0.0,3.9074891552284,413.3137549195019,677.3990746208406,67.51919675751257,-6.002422114921005
0.06,-0.002728776112006977,0.0029704021097409807,0.0,6.27815114335241,0.9144881194438881,0.0,-0.16269344750788212,0.001925165500262782,-0.5658053421444182,-6.197754200130659,2.2828836652371143,0.0,3.68654671325335,408.95807297625754,680.4786945798006,67.19796302880971,-6.0023177022802745
0.06,-0.0026037784976343024,0.002786352852447673,0.0,0.10648008577563495,0.8711546612924597,0.0,-0.15545326912423163,-0.008925120967741618,-0.5615393271203658,-6.252005011552383,2.2267402048365414,0.0,3.604177920373126,403.86924318094685,683.4439965855371,66.94843020145262,-6.002205766885302
0.06,-0.0024677400679116645,0.002632343929548283,0.0,0.19490529716678218,0.8261089207475756,0.0,-0.1475332782320997,-0.017607693289961257,-0.5578478299286275,-6.294687267525504,2.1668780996242654,0.0,3.563503173414295,398.37380544714597,685.7074528284154,66.12063374730425,-6.002100149421444
0.06,-0.0023169770272960175,0.002508805899933064,0.0,0.26022366876442504,0.7778073570103503,0.0,-0.1387159155473554,-0.024385957467878583,-0.5551500549215538,-6.326029104030148,2.1008473125733267,0.0,3.5856896833693703,392.22534547589214,687.3502846903448,65.35036319311855,-6.002000107380134
0.06,-0.0021643025479853705,0.002408741587768926,0.0,0.3092081212703981,0.7296752379019438,0.0,-0.1297513117664538,-0.02971441828456134,-0.5531686785109701,-6.3494308106131685,2.0329766804495404,0.0,3.5298066279151756,385.8049124938582,688.561201402801,64.62716424636518,-6.001907814520866
0.06,-0.002020731695239451,0.0022921300428916072,0.0,0.37195039113488626,0.6838812207533724,0.0,-0.12129527111376837,-0.03550945731876348,-0.5498865308539288,-6.379278414338091,1.9662934602464954,0.0,3.359611872077016,379.3921578815046,690.1113866716809,63.78585516905553,-6.001812109061467
